object_id,Title,Date,Collection ID,Collection,Place,Tags,Copyright,Creator,URL
34460,City Map of Stanislau (Stanisławow),c. 1941,Ryszard_Hubisz,Ryszard Hubisz,Ivano-Frankivsk,"Ivano-Frankivsk, Stanislawow, Stanislaviv",Ryszard Hubisz,Reich Office for Topographic Mapping,https://uma.lvivcenter.org/en/maps/34460
34461,Map of the City of Tarnopol,c. 1931,Volodymyr_Cilinskyi,Volodymyr Cilinskyi,Ternopil,"Tarnopol, Ternopil",Volodymyr Cilinskyi,Podolian tourism association. Ternopil,https://uma.lvivcenter.org/en/maps/34461
34462,Plan of Lemberg,1941,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lwów, Lemberg, Lviv",Ryszard Hubisz,Printing House №1. Lviv,https://uma.lvivcenter.org/en/maps/34462
34463,Lemberg,c. 1939,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lemberg, Lwów, Lviv",Ryszard Hubisz,Department of General Staff of the 9-th Army,https://uma.lvivcenter.org/en/maps/34463
34464,Map of the City of Sokal,c. 1925,Ryszard_Hubisz,Ryszard Hubisz,Sokal,Sokal,Ryszard Hubisz,Unknown,https://uma.lvivcenter.org/en/maps/34464
34465,Lemberg Leopol Lwow,1783,Austrian_War_Archive,Austrian War Archive,Lviv,"Lviv, Lwow, Lemberg","Austrian War Archive, Vienna",The Quartermaster of Austrian General Staff,https://uma.lvivcenter.org/en/maps/34465
34466,Brody City Plan with the Castle,с. 1780,Austrian_War_Archive,Austrian War Archive,Brody,Brody,"Austrian War Archive, Vienna",Author Louis de Jann,https://uma.lvivcenter.org/en/maps/34466
34467,Map of the City of Cernăuţi,с. 1936,48_pict,Helmut Kusdat,Chernivtsi,Chernivtsi,Helmut Kusdat,Leon König. Сhernivtsi,https://uma.lvivcenter.org/en/maps/34467
34468,City Plan of Przemysl,1894,Austrian_War_Archive,Austrian War Archive,Przemysl,Przemysl,"Austrian War Archive, Vienna",Unknown,https://uma.lvivcenter.org/en/maps/34468
34469,Plan of Sokal,1918*,Austrian_War_Archive,Austrian War Archive,Sokal,Sokal,"Austrian War Archive, Vienna",Unknown,https://uma.lvivcenter.org/en/maps/34469
34470,Schematic map of Stryj,c. 1940,Austrian_War_Archive,Austrian War Archive,Stryi,Stryj,"Austrian War Archive, Vienna",Unknown,https://uma.lvivcenter.org/en/maps/34470
34471,Lemberg with Suburbs,1836,Austrian_War_Archive,Austrian War Archive,Lviv,"Lwów, Lviv","Austrian War Archive, Vienna",The Quartermaster of Austrian General Staff,https://uma.lvivcenter.org/en/maps/34471
34472,Map of the City of Lemberg and Surrounding areas,c. 1829,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Лемберг, Львів, Львув",Ryszard Hubisz,Lithography Joseph Trentsensky. Vienna,https://uma.lvivcenter.org/en/maps/34472
34473,Plan of the Truskawiec Resort,1933,History_of_Truskavets,"Museum ""History of Truskavets""",Truskavets,"Truskavets, Truskawiec","Museum ""History of Truskavets""",Unknown,https://uma.lvivcenter.org/en/maps/34473
34474,Krakau,с. 1805,Austrian_War_Archive,Austrian War Archive,Kraków,Kraków,"Austrian War Archive, Vienna",Manuscript,https://uma.lvivcenter.org/en/maps/34474
34475,Situational Map of the City of Krakau and its Suburbs,c. 1797,Austrian_War_Archive,Austrian War Archive,Kraków,"Krakau, Kraków","Austrian War Archive, Vienna",Manuscript,https://uma.lvivcenter.org/en/maps/34475
34476,Ground Plan of the city of Krakau,c. 1800,Austrian_War_Archive,Austrian War Archive,Kraków,"Kraków, Krakau","Austrian War Archive, Vienna",Author Johann Hom[rne],https://uma.lvivcenter.org/en/maps/34476
34477,Map of the City of Cracow within the Trenches,1836,Austrian_War_Archive,Austrian War Archive,Kraków,"Krakau, Kraków, Cracovie","Austrian War Archive, Vienna",D. Friedlein's Bookstore. Сrakow,https://uma.lvivcenter.org/en/maps/34477
34478,Map of Krakau with Podgorze and the nearest environs,1847,Austrian_War_Archive,Austrian War Archive,Kraków,"Kraków, Krakau","Austrian War Archive, Vienna",Author Alexander Kocziczka. Olomouc,https://uma.lvivcenter.org/en/maps/34478
34479,City Plan of Przemysl,1907,Austrian_War_Archive,Austrian War Archive,Przemysl,"Przemysl, Peremyshl","Austrian War Archive, Vienna",Unknown,https://uma.lvivcenter.org/en/maps/34479
34480,Resettlement Scheme of Jews in Lemberg,1941,26_pict,State Archives of Lviv Region,Lviv,"Lemberg, Lwów, Lviv",State Archives of Lviv Region,Unknown,https://uma.lvivcenter.org/en/maps/34480
34481,Map of the Royal and Capital City of Lwow,1917,26_pict,State Archives of Lviv Region,Lviv,"Lviv, Lwów",State Archives of Lviv Region,Technical Department of Municipality. Lviv,https://uma.lvivcenter.org/en/maps/34481
34482,The Popular Plan of Lwow,1938,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lwow, Lviv",Ryszard Hubisz,Wasyl Horbay's Graphical Establishment. Lviv,https://uma.lvivcenter.org/en/maps/34482
34483,Plan of the Royal and Capital City of Lwow with Data on New Names of Streets and Squares,1871,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lemberg, Lwów, Lviv, Lwiw",Ryszard Hubisz,K. Wild's Bookstore. Lviv,https://uma.lvivcenter.org/en/maps/34483
34484,Map of the City of Lviv,1943,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lwow, Lviv",Ryszard Hubisz,The War Office of Polish General Staff,https://uma.lvivcenter.org/en/maps/34484
34485,Plan of the Royal and Capital City of Lwow,с. 1900,Oleg_Sergeiev,Oleg Sergeiev,Lviv,"Lwów, Lemberg, Lviv",Oleg Sergeiev,Unknown,https://uma.lvivcenter.org/en/maps/34485
34486,"""Wskaznik"". The Newest Plan of Great Lwow with Orientation Index",1936,Oleg_Sergeiev,Oleg Sergeiev,Lviv,"Lwów, Lviv",Oleg Sergeiev,Gazeta Mieszkaniowa. Lviv,https://uma.lvivcenter.org/en/maps/34486
34487,Plan of Great Lwow,1937,Oleg_Sergeiev,Oleg Sergeiev,Lviv,"Lwow, Lviv",Oleg Sergeiev,Gazeta Mieszkaniowa. Lviv,https://uma.lvivcenter.org/en/maps/34487
34488,Plan of Lvov,1947,Oleg_Sergeiev,Oleg Sergeiev,Lviv,"Lwów, Lwow",Oleg Sergeiev,Unknown,https://uma.lvivcenter.org/en/maps/34488
34489,Lemberg,1944,Oleg_Sergeiev,Oleg Sergeiev,Lviv,"Lwów, Lemberg, Lwiw",Oleg Sergeiev,War Maps Survey Office. Lviv,https://uma.lvivcenter.org/en/maps/34489
34493,Capital City Lemberg,1777,Austrian_War_Archive,Austrian War Archive,Lviv,"Lemberg, Lviv, Lwów","Austrian War Archive, Vienna",Author Josepho Daniele de Huber,https://uma.lvivcenter.org/en/maps/34493
34494,Plan of the Royal and Capital City of Lwow (with an enclave of Jałowcy and Maszow. Lwow II Part),1910,Austrian_War_Archive,Austrian War Archive,Lviv,"Lemberg, Lviv, Lwów","Austrian War Archive, Vienna",Unknown,https://uma.lvivcenter.org/en/maps/34494
34496,Surroundings of the Citadel,c. 1930,26_pict,State Archives of Lviv Region,Lviv,"Lwów, Lviv",State Archives of Lviv Region,Unknown,https://uma.lvivcenter.org/en/maps/34496
34497,Plan of the City of Tarnopol,с. 1908,Ryszard_Hubisz,Ryszard Hubisz,Ternopil,"Tarnopol, Ternopil",Ryszard Hubisz,Alfred Brugger's Bookstore. Ternopil,https://uma.lvivcenter.org/en/maps/34497
34498,Jaroslaw,1906,Austrian_War_Archive,Austrian War Archive,Jaroslav,Jaroslaw,"Austrian War Archive, Vienna",Cartographic Establishment G. Freytag &amp; Berndt. Vienna,https://uma.lvivcenter.org/en/maps/34498
34499,Street Map of the City of Boryslaw,1932,Ryszard_Hubisz,Ryszard Hubisz,Boryslav,Boryslav,Ryszard Hubisz,Unknown,https://uma.lvivcenter.org/en/maps/34499
34500,Plan of the City of Drohobych,с. 1935,Ryszard_Hubisz,Ryszard Hubisz,Drohobych,Drohobych,Ryszard Hubisz,Association of Polish Merchants and Industrialists of South East. Drohobych,https://uma.lvivcenter.org/en/maps/34500
34501,Schematic map of the streets of Krzemieniec,с. 1925,Ryszard_Hubisz,Ryszard Hubisz,Kremenets,Kremenets,Ryszard Hubisz,Unknown,https://uma.lvivcenter.org/en/maps/34501
34502,Map of the City of Rowne,1938,Ryszard_Hubisz,Ryszard Hubisz,Rivne,"Równe, Rivne",Ryszard Hubisz,Unknown,https://uma.lvivcenter.org/en/maps/34502
34503,Map of the City of Tarnopol,1925,Ryszard_Hubisz,Ryszard Hubisz,Ternopil,"Tarnopol, Ternopil",Ryszard Hubisz,Technical Office: Architekt Maks Schafkopf. Tеrnopil,https://uma.lvivcenter.org/en/maps/34503
34504,Regulation Plan of the City of Stryj according to a Project by the Committee of the Polytechnical Society,c. 1930,Ryszard_Hubisz,Ryszard Hubisz,Stryi,Stryj,Ryszard Hubisz,Unknown,https://uma.lvivcenter.org/en/maps/34504
34505,Plan of Lemberg,1780,Austrian_War_Archive,Austrian War Archive,Lviv,"Lemberg, Lwów, Lviv","Austrian War Archive, Vienna",Author Franz d'Ertel,https://uma.lvivcenter.org/en/maps/34505
